hashtag_id,tag_name,date,view_count,like_count,comment_count,share_count,video_count,engagement_rate,view_growth,like_growth,engagement_growth,trend_score
58,thangphoido,2026-05-10,7527,143,18,41,1,2.683315621679065,0.0,0.0,0.0,5.9
58,thangphoido,2026-05-11,7595,144,18,41,1,2.6724591890468665,68.0,1.0,-0.010856432632198487,40.199999999999996
58,thangphoido,2026-05-12,7627,144,18,41,1,2.6612480335605664,32.0,0.0,-0.01121115548630014,21.900000000000002
58,thangphoido,2026-05-13,7671,145,18,41,1,2.659019812304484,44.0,1.0,-0.0022282212560824632,28.200000000000003
60,outfitsdeptrai,2026-05-10,5318,153,2,7,1,3.0456852791878175,0.0,0.0,0.0,0.9000000000000001
60,outfitsdeptrai,2026-05-11,5435,156,2,7,1,3.0353200883002205,117.0,3.0,-0.01036519088759702,60.300000000000004
60,outfitsdeptrai,2026-05-12,5719,166,2,7,1,3.0594405594405596,284.0,10.0,0.024120471140339106,145.89999999999998
60,outfitsdeptrai,2026-05-13,5834,168,2,7,1,3.033419023136247,115.0,2.0,-0.026021536304312587,59.00000000000001
61,macdepmoingay,2026-05-10,2707225,85018,937,12261,8,3.6279202401277173,0.0,0.0,0.0,1319.8000000000002
61,macdepmoingay,2026-05-11,2709848,85033,931,12307,8,3.6264382258937675,2623.0,15.0,-0.00148201423394978,2639.8
61,macdepmoingay,2026-05-12,2711738,85151,932,12326,8,3.628999693554579,1890.0,118.0,0.002561467660811445,2306.2
61,macdepmoingay,2026-05-13,2713763,85159,934,12333,8,3.6269181844847234,2025.0,8.0,-0.0020815090698556027,2341.6000000000004
62,styletips,2026-05-10,6221700,427096,1490,19090,6,7.1953956000135655,0.0,0.0,0.0,2058.0
62,styletips,2026-05-11,6223900,427196,1488,19110,6,7.194748116976796,2200.0,100.0,-0.0006474830367695361,3189.8
62,styletips,2026-05-12,6225100,427596,1487,19118,6,7.199899246614633,1200.0,400.0,0.0051511296378370375,2780.5
62,styletips,2026-05-13,6226100,427796,1486,19123,6,7.202019369746812,1000.0,200.0,0.0021201231321787972,2620.9
63,outfits,2026-05-10,12587300,1370095,3762,73069,10,11.49512512650647,0.0,0.0,0.0,7683.1
